MISSION ELAPSED TIME (mins),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH],Vx(km/s)[J2000-EARTH],Vy(km/s)[J2000-EARTH],Vz(km/s)[J2000-EARTH],MASS (kg),WPSA,WPSA Range,DS54,DS54 Range,DS24,Range DS24,DS34,Range DS34
40.23648055,-8250,-471,823,-0.782,-5.05,-4.09,60129.73972,0,,0,,0,,0,
41.23648055,-8290,-773,577,-0.439,-5.03,-4.12,60129.73972,0,,0,,0,,0,
42.23648055,-8300,-1070,329,-0.0996,-4.99,-4.14,60129.73972,0,,0,,0,,0,
43.23648055,-8300,-1370,80.3,0.236,-4.94,-4.15,60129.73972,0,,0,,0,,0,
44.23648055,-8280,-1670,-169,0.568,-4.88,-4.14,60129.73972,0,,0,,0,,0,
45.23648055,-8230,-1960,-417,0.894,-4.81,-4.13,60129.73972,0,,0,,0,,0,
46.23648055,-8170,-2240,-664,1.22,-4.73,-4.11,60129.73972,0,,0,,0,,0,
47.23648055,-8090,-2520,-910,1.53,-4.63,-4.08,60129.73972,0,,0,,0,,0,
48.23648055,-7990,-2800,-1150,1.84,-4.53,-4.04,60129.73972,0,,0,,0,,0,
48.63913203,-7940,-2910,-1250,1.98,-4.52,-4.05,59529.04604,0,,0,,0,,0,
49.63913203,-7810,-3180,-1490,2.28,-4.4,-4,59529.04604,0,,0,,0,,0,
50.63913203,-7670,-3440,-1730,2.57,-4.28,-3.94,59529.04604,0,,0,,0,,0,
51.63913203,-7500,-3690,-1970,2.86,-4.14,-3.87,59529.04604,0,,0,,0,,0,
52.63913203,-7320,-3930,-2200,3.14,-4,-3.79,59529.04604,0,,0,,0,,0,
53.63913203,-7130,-4170,-2420,3.41,-3.85,-3.7,59529.04604,0,,0,,0,,0,
54.63913203,-6910,-4390,-2640,3.67,-3.68,-3.61,59529.04604,0,,0,,0,,0,
55.63913203,-6690,-4610,-2850,3.93,-3.52,-3.5,59529.04604,0,,0,,0,,0,
56.63913203,-6440,-4820,-3060,4.18,-3.34,-3.39,59529.04604,0,,0,,0,,0,
57.63913203,-6190,-5010,-3260,4.41,-3.15,-3.27,59529.04604,0,,0,,0,,0,
58.63913203,-5910,-5190,-3450,4.64,-2.96,-3.15,59529.04604,0,,0,,0,,0,
59.63913203,-5630,-5370,-3640,4.86,-2.76,-3.01,59529.04604,0,,0,,0,,0,
60.63913203,-5330,-5530,-3810,5.07,-2.56,-2.87,59529.04604,0,,0,,0,,0,
61.63913203,-5020,-5670,-3980,5.26,-2.34,-2.72,59529.04604,0,,0,,0,,0,
62.63913203,-4700,-5810,-4140,5.45,-2.12,-2.57,59529.04604,0,,0,,0,,1,4625.421092
63.63913203,-4370,-5930,-4290,5.62,-1.9,-2.4,59529.04604,0,,0,,0,,1,4625.421092
64.63913203,-4020,-6040,-4430,5.79,-1.67,-2.24,59529.04604,0,,0,,0,,1,4625.421092
65.63913203,-3670,-6130,-4560,5.94,-1.43,-2.06,59529.04604,0,,0,,0,,1,4625.421092
66.63913203,-3310,-6210,-4680,6.08,-1.18,-1.88,59529.04604,0,,0,,0,,1,4625.421092
67.63913203,-2940,-6270,-4780,6.2,-0.936,-1.69,59529.04604,0,,0,,0,,1,4625.421092
68.63913203,-2570,-6320,-4880,6.31,-0.682,-1.49,59529.04604,0,,0,,0,,1,4625.421092
69.63913203,-2190,-6350,-4960,6.41,-0.424,-1.29,59529.04604,0,,0,,0,,1,4625.421092
70.63913203,-1800,-6370,-5030,6.49,-0.161,-1.08,59529.04604,0,,0,,0,,1,4625.421092
71.63913203,-1410,-6370,-5090,6.56,0.105,-0.872,59529.04604,0,,0,,0,,1,4625.421092
72.63913203,-1010,-6360,-5140,6.61,0.376,-0.655,59529.04604,0,,0,,0,,1,4625.421092
73.63913203,-616,-6330,-5170,6.64,0.649,-0.432,59529.04604,0,,0,,0,,1,4625.421092
74.63913203,-217,-6280,-5190,6.66,0.925,-0.205,59529.04604,0,,0,,0,,1,4625.421092
75.63913203,183,-6210,-5190,6.66,1.2,0.027,59529.04604,0,,0,,0,,1,4625.421092
76.63913203,583,-6130,-5190,6.65,1.48,0.263,59529.04604,0,,0,,0,,1,4625.421092
77.63913203,980,-6040,-5160,6.61,1.76,0.502,59529.04604,0,,0,,0,,1,4625.421092
78.63913203,1380,-5920,-5130,6.55,2.05,0.745,59529.04604,0,,0,,0,,1,4625.421092
79.63913203,1770,-5790,-5070,6.48,2.33,0.99,59529.04604,0,,0,,0,,1,4625.421092
80.63913203,2150,-5640,-5010,6.38,2.61,1.24,59529.04604,0,,0,,0,,1,4625.421092
81.63913203,2530,-5480,-4920,6.27,2.88,1.49,59529.04604,0,,0,,0,,0,
82.63913203,2900,-5300,-4830,6.13,3.16,1.74,59529.04604,0,,0,,0,,0,
83.63913203,3270,-5100,-4720,5.97,3.43,1.99,59529.04604,0,,0,,0,,0,
84.63913203,3620,-4890,-4590,5.78,3.7,2.24,59529.04604,0,,0,,0,,0,
85.63913203,3960,-4660,-4450,5.57,3.96,2.48,59529.04604,0,,0,,0,,0,
86.63913203,4290,-4410,-4290,5.34,4.21,2.73,59529.04604,0,,0,,0,,0,
87.63913203,4600,-4150,-4120,5.09,4.46,2.97,59529.04604,0,,0,,0,,0,
88.63913203,4900,-3880,-3940,4.81,4.69,3.21,59529.04604,0,,0,,0,,0,
89.63913203,5180,-3590,-3740,4.51,4.92,3.44,59529.04604,0,,0,,0,,0,
90.63913203,5440,-3290,-3520,4.18,5.13,3.66,59529.04604,0,,0,,0,,0,
91.63913203,5680,-2970,-3300,3.83,5.33,3.88,59529.04604,0,,0,,0,,0,
92.63913203,5900,-2650,-3060,3.45,5.51,4.08,59529.04604,0,,0,,0,,0,
93.63913203,6090,-2310,-2810,3.06,5.67,4.28,59529.04604,0,,0,,0,,0,
94.63913203,6260,-1970,-2540,2.64,5.82,4.46,59529.04604,0,,0,,0,,0,
95.63913203,6410,-1610,-2270,2.2,5.94,4.63,59529.04604,0,,0,,0,,0,
96.63913203,6530,-1250,-1990,1.74,6.04,4.78,59529.04604,0,,0,,0,,0,
97.63913203,6620,-888,-1700,1.26,6.12,4.91,59529.04604,0,,0,,0,,0,
98.63913203,6680,-519,-1400,0.771,6.17,5.03,59529.04604,0,,0,,0,,0,
99.63913203,6710,-148,-1100,0.266,6.2,5.12,59529.04604,0,,0,,0,,0,
100.1082326,6710,26.6,-951,0.0246,6.2,5.16,59454.07604,0,,0,,0,,0,
101.1082326,6700,400,-637,-0.552,6.26,5.29,57996.93593,0,,0,,0,,0,
102.1082326,6650,777,-317,-1.14,6.28,5.4,56539.79583,0,,0,,0,,0,
103.1082326,6560,1150,9.66,-1.72,6.28,5.48,55082.65572,0,,0,,1,4297.006633,0,
104.1082326,6440,1530,340,-2.31,6.25,5.54,53625.51561,0,,0,,1,4297.006633,0,
105.1082326,6280,1900,674,-2.89,6.19,5.57,52168.3755,0,,0,,1,4297.006633,0,
106.1082326,6090,2270,1010,-3.47,6.1,5.58,50711.23539,0,,0,,1,4297.006633,0,
107.1082326,5870,2630,1340,-4.03,5.98,5.56,49254.09528,1,74284.61081,0,,1,4297.006633,0,
108.1082326,5610,2990,1680,-4.57,5.83,5.52,47796.95517,1,74284.61081,0,,1,4297.006633,0,
109.1082326,5320,3330,2000,-5.08,5.66,5.45,46339.81506,1,74284.61081,0,,1,4297.006633,0,
110.1082326,5000,3670,2330,-5.56,5.47,5.36,44882.67496,1,74284.61081,0,,1,4297.006633,0,
111.1082326,4650,3990,2650,-6.01,5.26,5.25,43425.53485,1,74284.61081,0,,1,4297.006633,0,
112.1082326,4280,4300,2960,-6.41,5.04,5.13,41968.39474,1,74284.61081,0,,0,,0,
113.1082326,3880,4590,3260,-6.77,4.82,4.99,40511.25463,1,74284.61081,0,,0,,0,
114.1082326,3470,4880,3560,-7.07,4.6,4.85,39054.11452,1,74284.61081,0,,0,,0,
115.1082326,3040,5150,3840,-7.33,4.38,4.7,37596.97441,1,74284.61081,0,,0,,0,
116.1082326,2590,5400,4120,-7.54,4.17,4.56,36139.8343,1,74284.61081,0,,0,,0,
117.1082326,2130,5650,4390,-7.71,3.98,4.43,34682.69419,1,74284.61081,1,68027.60838,0,,0,
118.094466,1670,5880,4650,-7.82,3.82,4.3,33240.775,1,74284.61081,1,68027.60838,0,,0,
119.094466,1200,6100,4900,-7.89,3.51,4.06,33240.775,1,74284.61081,1,68027.60838,0,,0,
120.094466,726,6300,5140,-7.94,3.23,3.83,33240.775,1,74284.61081,1,68027.60838,0,,0,
121.094466,249,6490,5360,-7.96,2.96,3.61,33231.915,1,74284.61081,1,68027.60838,0,,0,
122.094466,-229,6660,5570,-7.96,2.71,3.4,33231.915,1,74284.61081,1,68027.60838,0,,0,
123.094466,-706,6810,5770,-7.94,2.47,3.2,33231.915,1,74284.61081,1,68027.60838,0,,0,
124.094466,-1180,6950,5960,-7.91,2.25,3.02,33231.915,1,74284.61081,1,68027.60838,0,,0,
125.094466,-1660,7080,6130,-7.87,2.05,2.84,33231.915,1,74284.61081,1,68027.60838,0,,0,
126.094466,-2130,7200,6300,-7.82,1.86,2.67,33231.915,1,74284.61081,1,68027.60838,0,,0,
127.094466,-2590,7310,6450,-7.76,1.68,2.52,33231.915,1,74284.61081,1,68027.60838,0,,0,
128.094466,-3060,7400,6600,-7.7,1.52,2.37,33231.915,1,74284.61081,1,68027.60838,0,,0,
129.094466,-3520,7490,6740,-7.63,1.37,2.24,33231.915,1,74284.61081,1,68027.60838,0,,0,
130.094466,-3970,7570,6870,-7.56,1.23,2.11,33231.915,1,74284.61081,1,68027.60838,0,,0,
131.094466,-4430,7630,6990,-7.49,1.09,1.99,33231.915,1,74284.61081,1,68027.60838,0,,0,
132.094466,-4870,7700,7110,-7.42,0.969,1.87,33231.915,1,74284.61081,1,68027.60838,0,,0,
133.094466,-5320,7750,7220,-7.34,0.854,1.77,33231.915,1,74284.61081,1,68027.60838,0,,0,
134.094466,-5750,7800,7320,-7.26,0.746,1.67,33231.915,1,74284.61081,1,68027.60838,0,,0,
135.094466,-6190,7840,7420,-7.19,0.646,1.57,33231.915,1,74284.61081,1,68027.60838,0,,0,
136.094466,-6620,7880,7510,-7.11,0.551,1.48,33231.915,1,74284.61081,1,68027.60838,0,,0,
137.094466,-7040,7910,7590,-7.03,0.463,1.4,33231.915,1,74284.61081,1,68027.60838,0,,0,
138.094466,-7460,7930,7670,-6.96,0.38,1.32,33231.915,1,74284.61081,1,68027.60838,0,,0,
139.094466,-7870,7950,7750,-6.88,0.302,1.24,33231.915,1,74284.61081,1,68027.60838,0,,0,
140.094466,-8290,7970,7820,-6.81,0.229,1.17,33231.915,1,74284.61081,1,68027.60838,0,,0,
141.094466,-8690,7980,7890,-6.73,0.161,1.1,33231.915,1,74284.61081,1,68027.60838,0,,0,
142.094466,-9090,7990,7960,-6.66,0.0959,1.04,33231.915,1,74284.61081,1,68027.60838,0,,0,
143.094466,-9490,7990,8020,-6.59,0.0348,0.976,33231.915,1,74284.61081,1,68027.60838,0,,0,
144.094466,-9880,7990,8070,-6.52,-0.0228,0.918,33231.915,1,74284.61081,1,68027.60838,0,,0,
145.094466,-10300,7990,8130,-6.45,-0.0772,0.863,33231.915,1,74284.61081,1,68027.60838,0,,0,
146.094466,-10700,7980,8180,-6.39,-0.129,0.811,33231.915,1,74284.61081,1,68027.60838,0,,0,
147.094466,-11000,7970,8220,-6.32,-0.177,0.761,33231.915,1,74284.61081,1,68027.60838,0,,0,
148.094466,-11400,7960,8270,-6.25,-0.223,0.713,33231.915,1,74284.61081,1,68027.60838,0,,0,
149.094466,-11800,7950,8310,-6.19,-0.267,0.667,33231.915,1,74284.61081,1,68027.60838,0,,0,
150.094466,-12200,7930,8350,-6.13,-0.309,0.624,33231.915,1,74284.61081,1,68027.60838,0,,0,
151.094466,-12500,7910,8380,-6.07,-0.348,0.582,33231.915,1,74284.61081,1,68027.60838,0,,0,
152.094466,-12900,7890,8420,-6.01,-0.385,0.542,33231.915,1,74284.61081,1,68027.60838,0,,0,
153.094466,-13200,7860,8450,-5.95,-0.421,0.504,33231.915,1,74284.61081,1,68027.60838,0,,0,
154.094466,-13600,7840,8480,-5.89,-0.455,0.468,33231.915,1,74284.61081,1,68027.60838,0,,0,
155.094466,-14000,7810,8510,-5.83,-0.487,0.433,33231.915,1,74284.61081,1,68027.60838,0,,0,
156.094466,-14300,7780,8530,-5.78,-0.518,0.399,33231.915,1,74284.61081,1,68027.60838,0,,0,
157.094466,-14600,7750,8550,-5.72,-0.547,0.367,33231.915,1,74284.61081,1,68027.60838,0,,0,
158.094466,-15000,7710,8570,-5.67,-0.575,0.336,33231.915,1,74284.61081,1,68027.60838,0,,0,
159.094466,-15300,7680,8590,-5.62,-0.601,0.307,33231.915,1,74284.61081,1,68027.60838,0,,0,
160.094466,-15700,7640,8610,-5.57,-0.627,0.278,33231.915,1,74284.61081,1,68027.60838,0,,0,
161.094466,-16000,7600,8630,-5.52,-0.651,0.25,33231.915,1,74284.61081,1,68027.60838,0,,0,
162.094466,-16300,7560,8640,-5.47,-0.674,0.224,33231.915,1,74284.61081,1,68027.60838,0,,0,
163.094466,-16700,7520,8650,-5.42,-0.697,0.198,33231.915,1,74284.61081,1,68027.60838,0,,0,
164.094466,-17000,7480,8670,-5.37,-0.718,0.174,33231.915,1,74284.61081,1,68027.60838,0,,0,
165.094466,-17300,7440,8680,-5.32,-0.738,0.15,33231.915,1,74284.61081,1,68027.60838,0,,0,
166.094466,-17600,7390,8680,-5.28,-0.758,0.127,33231.915,1,74284.61081,1,68027.60838,0,,0,
167.094466,-17900,7350,8690,-5.23,-0.777,0.105,33231.915,1,74284.61081,1,68027.60838,0,,0,
168.094466,-18200,7300,8700,-5.19,-0.795,0.0837,33231.915,1,74284.61081,1,68027.60838,0,,0,
169.094466,-18600,7250,8700,-5.14,-0.812,0.0631,33231.915,1,74284.61081,1,68027.60838,0,,0,
170.094466,-18900,7200,8700,-5.1,-0.828,0.0432,33231.915,1,74284.61081,1,68027.60838,0,,0,
171.094466,-19200,7150,8710,-5.06,-0.844,0.0239,33231.915,1,74284.61081,1,68027.60838,0,,0,
172.094466,-19500,7100,8710,-5.02,-0.86,0.0053,33231.915,1,74284.61081,1,68027.60838,0,,0,
173.094466,-19800,7050,8710,-4.98,-0.874,-0.0128,33231.915,1,74284.61081,1,68027.60838,0,,0,
174.094466,-20100,6990,8700,-4.94,-0.888,-0.0303,33231.915,1,74284.61081,1,68027.60838,0,,0,
175.094466,-20400,6940,8700,-4.9,-0.902,-0.0472,33231.915,1,74284.61081,1,68027.60838,0,,0,
176.094466,-20700,6890,8700,-4.86,-0.915,-0.0636,33231.915,1,74284.61081,1,68027.60838,0,,0,
177.094466,-20900,6830,8690,-4.82,-0.928,-0.0795,33231.915,1,74284.61081,1,68027.60838,0,,0,
178.094466,-21200,6780,8690,-4.78,-0.94,-0.095,33231.915,1,74284.61081,1,68027.60838,0,,0,
179.094466,-21500,6720,8680,-4.75,-0.951,-0.11,33231.915,1,74284.61081,1,68027.60838,0,,0,
180.094466,-21800,6660,8680,-4.71,-0.962,-0.124,33231.915,1,74284.61081,1,68027.60838,0,,0,
181.094466,-22100,6600,8670,-4.67,-0.973,-0.139,33231.915,1,74284.61081,1,68027.60838,0,,0,
182.094466,-22400,6540,8660,-4.64,-0.984,-0.152,33231.915,1,74284.61081,1,68027.60838,0,,0,
183.094466,-22600,6490,8650,-4.6,-0.994,-0.166,33231.915,1,74284.61081,1,68027.60838,0,,0,
184.094466,-22900,6430,8640,-4.57,-1,-0.178,33231.915,1,74284.61081,1,68027.60838,0,,0,
185.094466,-23200,6360,8630,-4.54,-1.01,-0.191,33231.915,1,74284.61081,1,68027.60838,0,,0,
186.094466,-23500,6300,8620,-4.5,-1.02,-0.203,33231.915,1,74284.61081,1,68027.60838,0,,0,
187.094466,-23700,6240,8600,-4.47,-1.03,-0.215,33231.915,1,74284.61081,1,68027.60838,0,,0,
188.094466,-24000,6180,8590,-4.44,-1.04,-0.227,33231.915,1,74284.61081,1,68027.60838,0,,0,
189.094466,-24300,6120,8580,-4.41,-1.05,-0.238,33231.915,1,74284.61081,1,68027.60838,0,,0,
190.094466,-24500,6050,8560,-4.38,-1.05,-0.249,33231.915,1,74284.61081,1,68027.60838,0,,0,
191.094466,-24800,5990,8550,-4.35,-1.06,-0.26,33231.915,1,74284.61081,1,68027.60838,0,,0,
192.094466,-25000,5930,8530,-4.32,-1.07,-0.27,33231.915,1,74284.61081,1,68027.60838,0,,0,
193.094466,-25300,5860,8520,-4.29,-1.08,-0.28,33231.915,1,74284.61081,1,68027.60838,0,,0,
194.094466,-25600,5800,8500,-4.26,-1.08,-0.29,33231.915,1,74284.61081,1,68027.60838,0,,0,
195.094466,-25800,5730,8480,-4.23,-1.09,-0.299,33231.915,1,74284.61081,1,68027.60838,0,,0,
196.094466,-26100,5670,8460,-4.2,-1.1,-0.309,33231.915,1,74284.61081,1,68027.60838,0,,0,
196.649466,-26200,5630,8450,-4.18,-1.1,-0.314,26046.18107,1,74284.61081,1,68027.60838,0,,0,
197.649466,-26500,5560,8430,-4.15,-1.11,-0.323,26046.18107,1,74284.61081,1,68027.60838,0,,0,
198.649466,-26700,5500,8410,-4.13,-1.11,-0.332,26046.18107,1,74284.61081,1,68027.60838,0,,0,
199.649466,-26900,5430,8390,-4.1,-1.12,-0.341,26046.18107,1,74284.61081,1,68027.60838,0,,0,
200.649466,-27200,5360,8370,-4.07,-1.12,-0.349,26046.18107,1,74284.61081,1,68027.60838,0,,0,
201.649466,-27400,5300,8350,-4.05,-1.13,-0.357,26046.18107,1,74284.61081,1,68027.60838,0,,0,
202.649466,-27700,5230,8330,-4.02,-1.13,-0.365,26046.18107,1,74284.61081,1,68027.60838,0,,0,
203.649466,-27900,5160,8310,-3.99,-1.14,-0.373,26046.18107,1,74284.61081,1,68027.60838,0,,0,
204.649466,-28200,5090,8280,-3.97,-1.14,-0.38,26046.18107,1,74284.61081,1,68027.60838,0,,0,
205.649466,-28400,5020,8260,-3.94,-1.15,-0.388,26046.18107,1,74284.61081,1,68027.60838,0,,0,
206.649466,-28600,4950,8240,-3.92,-1.15,-0.395,26046.18107,1,74284.61081,1,68027.60838,0,,0,
207.649466,-28900,4890,8210,-3.89,-1.16,-0.402,26046.18107,1,74284.61081,1,68027.60838,0,,0,
208.649466,-29100,4820,8190,-3.87,-1.16,-0.409,26046.18107,1,74284.61081,1,68027.60838,0,,0,
209.649466,-29300,4750,8170,-3.84,-1.16,-0.416,26046.18107,1,74284.61081,1,68027.60838,0,,0,
210.649466,-29600,4680,8140,-3.82,-1.17,-0.422,26046.18107,1,74284.61081,1,68027.60838,0,,0,
211.649466,-29800,4610,8110,-3.8,-1.17,-0.429,26046.18107,1,74284.61081,1,68027.60838,0,,0,
212.649466,-30000,4540,8090,-3.77,-1.17,-0.435,26046.18107,1,74284.61081,1,68027.60838,0,,0,
213.649466,-30200,4470,8060,-3.75,-1.18,-0.441,26046.18107,1,74284.61081,1,68027.60838,0,,0,
214.649466,-30500,4390,8040,-3.73,-1.18,-0.447,26046.18107,1,74284.61081,1,68027.60838,0,,0,
215.649466,-30700,4320,8010,-3.71,-1.18,-0.453,26046.18107,1,74284.61081,1,68027.60838,0,,0,
216.649466,-30900,4250,7980,-3.68,-1.19,-0.459,26046.18107,1,74284.61081,1,68027.60838,0,,0,
217.649466,-31100,4180,7950,-3.66,-1.19,-0.465,26046.18107,1,74284.61081,1,68027.60838,0,,0,
218.649466,-31400,4110,7930,-3.64,-1.19,-0.47,26046.18107,1,74284.61081,1,68027.60838,0,,0,
219.649466,-31600,4040,7900,-3.62,-1.2,-0.476,26046.18107,1,74284.61081,1,68027.60838,0,,0,
220.649466,-31800,3970,7870,-3.6,-1.2,-0.481,26046.18107,1,74284.61081,1,68027.60838,0,,0,
221.649466,-32000,3890,7840,-3.58,-1.2,-0.486,26046.18107,1,74284.61081,1,68027.60838,0,,0,
222.649466,-32200,3820,7810,-3.56,-1.2,-0.491,26046.18107,1,74284.61081,1,68027.60838,0,,0,
223.649466,-32400,3750,7780,-3.53,-1.21,-0.496,26046.18107,1,74284.61081,1,68027.60838,0,,0,
224.649466,-32600,3680,7750,-3.51,-1.21,-0.501,26046.18107,1,74284.61081,1,68027.60838,0,,0,
225.649466,-32800,3600,7720,-3.49,-1.21,-0.506,26046.18107,1,74284.61081,1,68027.60838,0,,0,
226.649466,-33100,3530,7690,-3.47,-1.21,-0.51,26046.18107,1,74284.61081,1,68027.60838,0,,0,
227.649466,-33300,3460,7660,-3.45,-1.22,-0.515,26046.18107,1,74284.61081,1,68027.60838,0,,0,
228.649466,-33500,3390,7630,-3.43,-1.22,-0.52,26046.18107,1,74284.61081,1,68027.60838,0,,0,
229.649466,-33700,3310,7600,-3.42,-1.22,-0.524,26046.18107,1,74284.61081,1,68027.60838,0,,0,
230.649466,-33900,3240,7570,-3.4,-1.22,-0.528,26046.18107,1,74284.61081,1,68027.60838,0,,0,
231.649466,-34100,3170,7530,-3.38,-1.22,-0.532,26046.18107,1,74284.61081,1,68027.60838,0,,0,
232.649466,-34300,3090,7500,-3.36,-1.22,-0.537,26046.18107,1,74284.61081,1,68027.60838,0,,0,
233.649466,-34500,3020,7470,-3.34,-1.23,-0.541,26046.18107,1,74284.61081,1,68027.60838,0,,0,
234.649466,-34700,2950,7440,-3.32,-1.23,-0.545,26046.18107,1,74284.61081,1,68027.60838,0,,0,
235.649466,-34900,2870,7400,-3.3,-1.23,-0.549,26046.18107,1,74284.61081,1,68027.60838,0,,0,
236.649466,-35100,2800,7370,-3.28,-1.23,-0.552,26046.18107,1,74284.61081,1,68027.60838,0,,0,
237.649466,-35300,2720,7340,-3.27,-1.23,-0.556,26046.18107,1,74284.61081,1,68027.60838,0,,0,
238.649466,-35500,2650,7300,-3.25,-1.23,-0.56,26046.18107,1,74284.61081,1,68027.60838,0,,0,
239.649466,-35700,2580,7270,-3.23,-1.23,-0.563,26046.18107,1,74284.61081,1,68027.60838,0,,0,
240.649466,-35900,2500,7240,-3.21,-1.24,-0.567,26046.18107,1,74284.61081,1,68027.60838,0,,0,
241.649466,-36100,2430,7200,-3.2,-1.24,-0.57,26046.18107,1,74284.61081,1,68027.60838,0,,0,
242.649466,-36200,2350,7170,-3.18,-1.24,-0.574,26046.18107,1,74284.61081,1,68027.60838,0,,0,
243.649466,-36400,2280,7130,-3.16,-1.24,-0.577,26046.18107,1,74284.61081,1,68027.60838,0,,0,
244.649466,-36600,2210,7100,-3.15,-1.24,-0.58,26046.18107,1,74284.61081,1,68027.60838,0,,0,
245.649466,-36800,2130,7060,-3.13,-1.24,-0.584,26046.18107,1,74284.61081,1,68027.60838,0,,0,
246.649466,-37000,2060,7030,-3.11,-1.24,-0.587,26046.18107,1,74284.61081,1,68027.60838,0,,0,
247.649466,-37200,1980,6990,-3.1,-1.24,-0.59,26046.18107,1,74284.61081,1,68027.60838,0,,0,
248.649466,-37400,1910,6960,-3.08,-1.24,-0.593,26046.18107,1,74284.61081,1,68027.60838,0,,0,
249.649466,-37600,1830,6920,-3.06,-1.24,-0.596,26046.18107,1,74284.61081,1,68027.60838,0,,0,
250.649466,-37700,1760,6890,-3.05,-1.25,-0.599,26046.18107,1,74284.61081,1,68027.60838,0,,0,
251.649466,-37900,1680,6850,-3.03,-1.25,-0.602,26046.18107,1,74284.61081,1,68027.60838,0,,0,
252.649466,-38100,1610,6810,-3.02,-1.25,-0.605,26046.18107,1,74284.61081,1,68027.60838,0,,0,
253.649466,-38300,1530,6780,-3,-1.25,-0.607,26046.18107,1,74284.61081,1,68027.60838,0,,0,
254.649466,-38500,1460,6740,-2.98,-1.25,-0.61,26046.18107,1,74284.61081,1,68027.60838,0,,0,
255.649466,-38600,1380,6700,-2.97,-1.25,-0.613,26046.18107,1,74284.61081,1,68027.60838,0,,0,
256.649466,-38800,1310,6670,-2.95,-1.25,-0.615,26046.18107,1,74284.61081,1,68027.60838,0,,0,
257.649466,-39000,1230,6630,-2.94,-1.25,-0.618,26046.18107,1,74284.61081,1,68027.60838,0,,0,
